ERROR - 2022-01-06 07:11:05 --> Severity: Core Warning --> PHP Startup: Unable to load dynamic library 'pdo_mysql' (tried: /usr/lib/php/20190902/pdo_mysql (/usr/lib/php/20190902/pdo_mysql: cannot open shared object file: No such file or directory), /usr/lib/php/20190902/pdo_mysql.so (/usr/lib/php/20190902/pdo_mysql.so: undefined symbol: mysqlnd_allocator)) Unknown 0
ERROR - 2022-01-06 07:34:21 --> Severity: Core Warning --> PHP Startup: Unable to load dynamic library 'pdo_mysql' (tried: /usr/lib/php/20190902/pdo_mysql (/usr/lib/php/20190902/pdo_mysql: cannot open shared object file: No such file or directory), /usr/lib/php/20190902/pdo_mysql.so (/usr/lib/php/20190902/pdo_mysql.so: undefined symbol: mysqlnd_allocator)) Unknown 0
ERROR - 2022-01-06 07:44:59 --> Severity: Core Warning --> PHP Startup: Unable to load dynamic library 'pdo_mysql' (tried: /usr/lib/php/20190902/pdo_mysql (/usr/lib/php/20190902/pdo_mysql: cannot open shared object file: No such file or directory), /usr/lib/php/20190902/pdo_mysql.so (/usr/lib/php/20190902/pdo_mysql.so: undefined symbol: mysqlnd_allocator)) Unknown 0
ERROR - 2022-01-06 07:45:09 --> Severity: Core Warning --> PHP Startup: Unable to load dynamic library 'pdo_mysql' (tried: /usr/lib/php/20190902/pdo_mysql (/usr/lib/php/20190902/pdo_mysql: cannot open shared object file: No such file or directory), /usr/lib/php/20190902/pdo_mysql.so (/usr/lib/php/20190902/pdo_mysql.so: undefined symbol: mysqlnd_allocator)) Unknown 0
ERROR - 2022-01-06 07:45:10 --> Severity: Core Warning --> PHP Startup: Unable to load dynamic library 'pdo_mysql' (tried: /usr/lib/php/20190902/pdo_mysql (/usr/lib/php/20190902/pdo_mysql: cannot open shared object file: No such file or directory), /usr/lib/php/20190902/pdo_mysql.so (/usr/lib/php/20190902/pdo_mysql.so: undefined symbol: mysqlnd_allocator)) Unknown 0
ERROR - 2022-01-06 07:45:12 --> Severity: Core Warning --> PHP Startup: Unable to load dynamic library 'pdo_mysql' (tried: /usr/lib/php/20190902/pdo_mysql (/usr/lib/php/20190902/pdo_mysql: cannot open shared object file: No such file or directory), /usr/lib/php/20190902/pdo_mysql.so (/usr/lib/php/20190902/pdo_mysql.so: undefined symbol: mysqlnd_allocator)) Unknown 0
ERROR - 2022-01-06 07:45:13 --> Severity: Core Warning --> PHP Startup: Unable to load dynamic library 'pdo_mysql' (tried: /usr/lib/php/20190902/pdo_mysql (/usr/lib/php/20190902/pdo_mysql: cannot open shared object file: No such file or directory), /usr/lib/php/20190902/pdo_mysql.so (/usr/lib/php/20190902/pdo_mysql.so: undefined symbol: mysqlnd_allocator)) Unknown 0
ERROR - 2022-01-06 09:40:29 --> Query error: Data too long for column 'mapel_alias' at row 1 - Invalid query: INSERT INTO `e_mapel` (`mapel_id`, `mapel_induk`, `mapel_nama`, `mapel_alias`, `jurusan_id`, `mapel_pilihan`, `mapel_jam`, `mapel_urut`, `jenjang_id`, `lembaga_id`) VALUES (3050764000089, '3', 'Bahasa sunda', 'b.sunda', '0', '1', '2', '17', '3', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ')
ERROR - 2022-01-06 09:41:15 --> Query error: Data too long for column 'mapel_alias' at row 1 - Invalid query: INSERT INTO `e_mapel` (`mapel_id`, `mapel_induk`, `mapel_nama`, `mapel_alias`, `jurusan_id`, `mapel_pilihan`, `mapel_jam`, `mapel_urut`, `jenjang_id`, `lembaga_id`) VALUES (3050764000089, '44', 'BAHASA SUNDA', 'B.SUNDA', '0', '1', '2', '17', '3', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ')
ERROR - 2022-01-06 09:42:00 --> Query error: Data too long for column 'mapel_alias' at row 1 - Invalid query: INSERT INTO `e_mapel` (`mapel_id`, `mapel_induk`, `mapel_nama`, `mapel_alias`, `jurusan_id`, `mapel_pilihan`, `mapel_jam`, `mapel_urut`, `jenjang_id`, `lembaga_id`) VALUES (3050764000089, '44', 'BAHASA SUNDA', 'B.SUNDA', '0', '1', '2', '16', '3', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ')
ERROR - 2022-01-06 09:47:20 --> Severity: Core Warning --> PHP Startup: Unable to load dynamic library 'pdo_mysql' (tried: /usr/lib/php/20190902/pdo_mysql (/usr/lib/php/20190902/pdo_mysql: cannot open shared object file: No such file or directory), /usr/lib/php/20190902/pdo_mysql.so (/usr/lib/php/20190902/pdo_mysql.so: undefined symbol: mysqlnd_allocator)) Unknown 0
ERROR - 2022-01-06 09:47:22 --> Query error: Unknown column 'nama_kelas' in 'order clause' - Invalid query: SELECT * FROM e_kelas where tahunajaran_id ='2021'   order by nama_kelas asc  LIMIT 0, 10
ERROR - 2022-01-06 09:47:22 --> Severity: error --> Exception: Call to a member function result() on bool /var/www/rdm/application/modules/proktor/controllers/Kirimnilai.php 0
ERROR - 2022-01-06 11:34:07 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '3', '0', '3', '', '', '1', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000002', '9')
ERROR - 2022-01-06 11:34:07 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '1', '0', '1', '', '', '2', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000002', '9')
ERROR - 2022-01-06 11:34:07 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '1', '0', '1', '', '', '3', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000002', '9')
ERROR - 2022-01-06 11:34:07 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '1', '0', '1', '', '', '4', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000002', '9')
ERROR - 2022-01-06 11:34:23 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '3', '0', '3', '', '', '1', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000002', '9')
ERROR - 2022-01-06 11:34:23 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '1', '0', '1', '', '', '2', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000002', '9')
ERROR - 2022-01-06 11:34:23 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '1', '0', '1', '', '', '3', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000002', '9')
ERROR - 2022-01-06 11:34:23 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '1', '0', '1', '', '', '4', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000002', '9')
ERROR - 2022-01-06 11:34:31 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '3', '0', '3', '', '', '1', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000002', '9')
ERROR - 2022-01-06 11:34:31 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '1', '0', '1', '', '', '2', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000002', '9')
ERROR - 2022-01-06 11:34:31 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '1', '0', '1', '', '', '3', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000002', '9')
